13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.html] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui.css] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.css] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-standalone-preset.js] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-bundle.js] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-initializer.js] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/favicon-32x32.png] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/favicon-32x32.png] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.html] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui.css] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-bundle.js] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.css] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-initializer.js] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-standalone-preset.js] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/favicon-32x32.png] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/favicon-32x32.png] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.html] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui.css] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-initializer.js] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-bundle.js] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-standalone-preset.js] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.css] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/favicon-32x32.png] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.html] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/favicon-32x32.png] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui.css] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-initializer.js] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-bundle.js] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-standalone-preset.js] 
13:44:17 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.css] 
13:44:18 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.html] 
13:44:18 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui.css] 
13:44:18 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-bundle.js] 
13:44:18 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-initializer.js] 
13:44:18 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.css] 
13:44:18 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-standalone-preset.js] 
13:44:18 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/favicon-32x32.png] 
13:44:18 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/favicon-32x32.png] 
13:44:18 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.html] 
13:44:18 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui.css] 
13:44:18 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-standalone-preset.js] 
13:44:18 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-initializer.js] 
13:44:18 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/swagger-ui-bundle.js] 
13:44:18 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.css] 
13:44:18 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/favicon-32x32.png] 
13:44:18 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/favicon-32x32.png] 
13:44:18 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/index.html] 
